"Id","price","host_is_superhost","host_total_listings_count","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","security_deposit","cleaning_fee","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","cancellation_policy","reviews_per_month"
909,401,"f",1,"f",-33.60661729,151.2980208,"House","Entire home/apt",6,2,3,4,1000,250,20,2,1125,4,100,10,10,10,10,10,9,"f","f","strict",0.29
910,93,"f",1,"t",-33.8002676,151.2760182,"Apartment","Entire home/apt",2,1,1,1,200,50,0,2,1125,6,90,9,9,10,10,10,9,"f","f","moderate",0.73
911,321,"f",1,"t",-33.78562688,151.2672442,"House","Entire home/apt",11,2.5,5,11,,100,50,3,1125,8,100,10,10,10,10,9,9,"f","f","moderate",0.64
912,300,"f",1,"t",-33.77997111,151.2935717,"Apartment","Entire home/apt",4,2,2,2,,,0,7,11,3,100,9,9,10,9,10,9,"f","f","strict",0.27
913,160,"f",1,"f",-33.74245615,151.3002723,"House","Entire home/apt",4,1,3,3,500,,0,1,1125,0,,,,,,,,"f","f","moderate",
914,350,"f",1,"f",-33.79729476,151.2739987,"Apartment","Entire home/apt",2,1,2,2,,,0,14,1125,0,,,,,,,,"f","f","flexible",
915,295,"f",7,"t",-33.80173361,151.2938704,"Apartment","Entire home/apt",6,1,2,3,200,60,20,1,1125,17,91,8,8,9,9,10,8,"t","f","strict",2.67
916,265,"f",2,"f",-33.78654843,151.2874728,"House","Entire home/apt",5,2,3,5,300,100,0,2,30,0,,,,,,,,"t","f","moderate",
917,269,"f",1,"t",-33.79056285,151.2493317,"House","Entire home/apt",8,2,5,6,1500,120,0,14,31,0,,,,,,,,"f","f","strict",
918,60,"f",2,"f",-33.74680368,151.2256755,"House","Private room",4,2,2,2,,,30,1,1125,0,,,,,,,,"t","f","strict",
919,171,"f",1,"t",-33.63108316,151.3263184,"House","Entire home/apt",6,2.5,4,5,500,150,0,5,1125,0,,,,,,,,"f","f","strict",
920,420,"f",1,"t",-33.75457702,151.2522319,"House","Entire home/apt",8,3,3,4,1000,125,0,7,1125,3,100,10,10,10,10,10,10,"f","f","strict",0.14
921,75,"t",1,"f",-33.70328238,151.2722873,"House","Private room",2,1.5,1,1,,10,20,1,15,26,99,10,10,10,10,10,10,"f","f","flexible",2.31
922,185,"t",1,"f",-33.6385696,151.3237506,"Apartment","Entire home/apt",4,1,2,2,500,100,50,1,7,16,100,10,10,10,10,10,10,"f","f","moderate",1.32
923,70,"f",1,"f",-33.79596342,151.2786159,"Apartment","Private room",1,1,1,1,,,20,2,1125,0,,,,,,,,"t","f","moderate",
924,200,"f",1,"f",-33.78010269,151.280451,"Apartment","Entire home/apt",2,1,1,1,,50,0,5,15,0,,,,,,,,"t","f","strict",
925,150,"t",2,"t",-33.79350762,151.2860435,"Apartment","Entire home/apt",3,1,2,2,800,65,0,4,45,2,100,10,9,10,10,10,10,"f","f","strict",2
926,150,"f",1,"t",-33.80015113,151.2867546,"Apartment","Entire home/apt",2,1,1,1,200,50,40,3,1125,2,80,8,7,10,10,10,7,"f","f","strict",0.09
927,428,"f",31,"t",-33.65106786,151.3163836,"Apartment","Entire home/apt",4,1,2,2,1000,100,0,5,30,1,80,8,10,10,10,8,6,"f","f","strict",0.04
928,205,"f",19,"t",-33.79734519,151.2868546,"Apartment","Entire home/apt",4,1,1,1,0,55,35,3,89,0,,,,,,,,"f","f","strict",
929,200,"f",1,"t",-33.79625049,151.284556,"Apartment","Entire home/apt",4,1,2,3,400,60,50,3,1125,13,85,10,9,10,10,10,9,"t","f","flexible",0.53
930,90,"f",1,"f",-33.7999458,151.2869696,"Apartment","Private room",1,1,1,1,0,30,25,3,1125,2,100,10,9,10,10,9,9,"t","f","flexible",2
931,250,"f",4,"f",-33.70838682,151.3022851,"Apartment","Entire home/apt",2,1,1,1,,100,0,2,1125,1,100,10,10,10,10,8,6,"f","f","strict",0.1
932,95,"t",1,"t",-33.76745034,151.2771011,"House","Private room",2,1,1,1,,,40,1,1125,88,98,10,10,10,10,10,10,"t","f","moderate",4.25
933,251,"f",2,"f",-33.80245914,151.2907302,"Townhouse","Entire home/apt",4,2,2,2,,,0,7,1125,0,,,,,,,,"f","f","flexible",
934,120,"f",1,"f",-33.7459389,151.287007,"Apartment","Entire home/apt",4,1,3,3,,,0,7,32,1,,,,,,,,"f","f","flexible",0.53
935,160,"f",1,"t",-33.67438247,151.3015371,"Apartment","Entire home/apt",4,1,2,3,0,80,10,1,30,18,99,10,10,10,10,10,9,"f","f","flexible",0.49
936,201,"f",2,"f",-33.78017,151.2933598,"Apartment","Private room",2,1,1,1,,,40,1,1125,0,,,,,,,,"f","f","moderate",
937,300,"f",1,"t",-33.79686533,151.2770792,"Apartment","Entire home/apt",4,1,2,2,,,0,7,11,0,,,,,,,,"f","f","moderate",
938,60,"f",1,"f",-33.75590259,151.2933973,"Apartment","Private room",2,1,1,2,,,0,1,5,0,,,,,,,,"f","f","flexible",
939,150,"f",3,"f",-33.62488248,151.329572,"House","Private room",4,1,1,3,0,0,20,2,1125,0,,,,,,,,"f","f","flexible",
940,115,"f",1,"f",-33.78439608,151.2692116,"Apartment","Entire home/apt",5,2,2,4,,,0,15,1125,0,,,,,,,,"f","f","strict",
941,280,"f",198,"f",-33.7864055,151.2565332,"House","Entire home/apt",8,2,3,4,400,330,0,3,1125,3,100,10,10,10,10,10,10,"t","f","strict",3
942,120,"f",1,"f",-33.80243259,151.2929815,"Apartment","Private room",2,1,0,1,,,0,1,60,0,,,,,,,,"f","f","flexible",
943,250,"f",3,"f",-33.79558674,151.2845545,"Apartment","Entire home/apt",2,2,2,2,,,0,2,1125,0,,,,,,,,"f","f","flexible",
944,80,"f",1,"t",-33.75838141,151.2932418,"Apartment","Entire home/apt",2,1,2,2,500,,0,5,20,1,100,8,10,8,10,10,8,"f","f","strict",0.04
945,160,"t",3,"t",-33.79748651,151.2850168,"Apartment","Entire home/apt",3,1,0,1,,,15,6,120,18,93,10,10,10,10,10,10,"t","t","strict",0.56
946,250,"f",1,"t",-33.76824419,151.2924981,"Apartment","Entire home/apt",4,1,2,3,200,50,0,2,1125,1,100,10,10,10,10,10,10,"t","f","flexible",1
947,250,"f",1,"t",-33.79627748,151.2827924,"Apartment","Entire home/apt",4,1,2,2,,,0,1,1125,0,,,,,,,,"t","f","flexible",
948,280,"f",1,"f",-33.79860686,151.278883,"Apartment","Entire home/apt",4,1,2,2,400,170,0,2,30,1,40,4,4,8,6,6,4,"f","f","strict",1
949,107,"f",1,"f",-33.77286916,151.2809108,"Apartment","Entire home/apt",3,1,2,2,,,0,2,1125,1,100,,10,,10,,,"f","f","flexible",0.04
950,134,"f",1,"f",-33.79855427,151.2843429,"Apartment","Entire home/apt",4,1,1,2,250,75,0,2,60,13,92,10,9,10,10,10,8,"t","f","strict",3.39
951,66,"f",1,"f",-33.76159272,151.2656052,"Apartment","Entire home/apt",3,2,1,2,,,0,14,1125,1,,,,,,,,"f","f","flexible",0.04
952,119,"f",1,"f",-33.79608925,151.2781416,"Apartment","Entire home/apt",4,1,2,3,,,0,2,2,0,,,,,,,,"t","f","flexible",
